Sample_ID,RNA_Original_concentration,RNA_Dilution_concentration,Cq,Plate_Number,sample_period,falcon_tube,ID,Unique_ID
23_1332,12,8,24,TP1,SP1,23,1332,1332_SP1
23_N50,15,8,25,TP1,SP1,23,N50,N50_SP1
28_N67,26,8,28,TP1,SP1,28,N67,N67_SP1
23_1470,18,8,26,TP1,SP1,23,1470,1470_SP1
88_LC043,21,8,28,TP1,SP1,88,LC043,LC043_SP1
128_LC127,19,8,26,TP1,SP1,128,LC127,LC127_SP1
83_LC115,13,8,26,TP1,SP1,83,LC115,LC115_SP1
83_LC053,16,8,26,TP1,SP1,83,LC053,LC053_SP1
118_LC110,22,8,26,TP1,SP1,118,LC110,LC110_SP1
88_LC005,19,8,25,TP1,SP1,88,LC005,LC005_SP1
113_LC077,15,8,20,TP1,SP1,113,LC077,LC077_SP1
118_LC018,24,8,25,TP1,SP1,118,LC018,LC018_SP1
53_N49,9,8,25,TP1,SP1,53,N49,N49_SP1
98_MC011,13,8,26,TP1,SP1,98,MC011,MC011_SP1
103_LC064,15,8,27,TP1,SP1,103,LC064,LC064_SP1
83_LC049,14,8,26,TP1,SP1,83,LC049,LC049_SP1
128_LC129,25,8,26,TP1,SP1,128,LC139,LC139_SP1
43_3421,18,8,26,TP1,SP1,43,3421,3421_SP1
103_LC114,16,8,26,TP1,SP1,103,LC114,LC114_SP1
3_4503,19,8,26,TP1,SP1,3,4503,4503_SP1
93_LC055,17,8,25,TP1,SP1,93,LC055,LC055_SP1
48_1463,24,8,26,TP1,SP1,48,1463,1463_SP1
113_MC002,18,8,25,TP1,SP1,113,MC002,MC002_SP1
53_765,23,8,20,TP1,SP1,53,765,765_SP1
43_N73,18,8,25,TP1,SP1,43,N73,N73_SP1
33_1452,19,8,26,TP1,SP1,33,1452,1452_SP1
133_MC005,19,8,27,TP1,SP1,133,MC005,MC005_SP1
98_MC014,16,8,26,TP1,SP1,98,MC014,MC014_SP1
18_1280,26,8,25,TP1,SP1,18,1280,1280_SP1
38_N70,16,8,27,TP1,SP1,38,N70,N70_SP1
48_753,24,8,26,TP1,SP1,48,753,753_SP1
108_LC062,20,8,26,TP1,SP1,108,LC062,LC062_SP1
108_LC007,22,8,26,TP1,SP1,108,LC007,LC007_SP1
118_LC126,28,8,25,TP1,SP1,118,LC126,LC126_SP1
123_LC024,21,8,19,TP1,SP1,123,LC024,LC024_SP1
38_N46,24,8,20,TP1,SP1,38,N46,N46_SP1
108_MC019,17,8,25,TP1,SP1,108,MC019,MC019_SP1
48_663,21,8,26,TP1,SP1,48,663,663_SP1
93_LC052,18,8,27,TP1,SP1,93,LC052,LC052_SP1
8_N72,28,8,28,TP1,SP1,8,N72,N72_SP1
28_695,18,8,26,TP1,SP1,28,695,695_SP1
13_713,NA,8,26,TP1,SP1,13,713,713_SP1
