Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
103_LC064	49.17	2807839.0
103_LC114	45.32	1547632.0
103_MC026	34.0	1874342.0
103_MC027	45.67	2244938.0
108_LC007	44.44	1607599.0
108_LC062	23.21	1837884.0
108_LC122	47.84	2828542.0
108_MC019	42.48	4563639.0
113_LC013	49.2	3106160.0
113_LC016	47.87	3802827.0
113_LC077	65.55	1448.0
113_MC002	50.78	2412986.0
118_LC018	57.47	4948588.0
118_LC110	39.87	2320262.0
118_LC124	46.76	3994243.0
118_LC126	45.44	2029716.0
123_LC024	65.02	7130570.0
123_LC058	69.3	5169113.0
123_LC123	46.36	3784322.0
123_LC157	57.42	8365764.0
128_LC101	60.11	1860027.0
128_LC125	39.72	2915120.0
128_LC127	45.52	2774533.0
128_LC129	51.67	3357644.0
133_MC005	49.41	2509952.0
136_LC064	58.58	8145558.0
136_LC079	59.53	4056021.0
136_LC101	65.26	3875825.0
136_MC011	62.35	8171281.0
13_713	46.39	3417024.0
13_N48	44.98	1718918.0
13_N59	0.0	0.0
140_LC062	55.81	6842581.0
140_LC077	67.85	9457351.0
140_LC110	61.9	6741347.0
140_MC027	65.54	5911400.0
144_LC088	66.27	6502824.0
144_LC114	63.38	4834247.0
144_MC014	61.42	7367831.0
144_MC026	50.9	4469628.0
148_LC085	62.95	6634843.0
148_LC129	60.06	7801721.0
148_MC005	60.9	5535250.0
148_MC019	63.21	9039543.0
152_LC124	58.61	6533598.0
152_LC125	60.57	8553592.0
152_LC126	55.71	6521911.0
152_LC127	65.7	7198749.0
156_LC007	66.87	6376859.0
156_LC018	66.34	6274227.0
156_LC024	69.41	10396830.0
156_LC058	69.52	5723008.0
160_LC013	65.68	7660430.0
160_LC123	57.22	5137299.0
160_LC157	65.71	4114933.0
160_MC002	53.73	5267946.0
164_LC016	61.2	5707837.0
164_LC048	62.73	5318798.0
164_LC115	63.7	6948164.0
164_LC122	68.02	5142316.0
168_LC003	70.02	6984370.0
168_LC045	64.9	4258920.0
168_LC055	60.71	3554571.0
168_MC032	53.46	3549588.0
172_LC005	68.41	10447660.0
172_LC049	65.34	8558014.0
172_LC053	65.41	7885370.0
172_LC056	66.46	8319278.0
176_LC041	65.58	7249852.0
176_LC042	65.33	6784391.0
176_LC043	66.65	6946155.0
176_LC052	67.88	9757209.0
180_LC078	67.26	7440441.0
184_1455	64.67	4761616.0
184_1463	67.64	9835054.0
184_N46	65.36	7965019.0
184_N72	61.95	5888648.0
188_3343	55.81	7193207.0
188_4503	64.33	7227217.0
188_N60	59.67	8598998.0
188_N70	69.17	5976385.0
18_1280	52.15	3498024.0
18_1340	28.65	1887831.0
18_N60	2.48	110006.0
192_1280	65.17	8035997.0
192_3342	65.78	7787948.0
192_3420	63.3	7345204.0
192_N49	65.11	7488249.0
196_1004	48.95	2408260.0
196_1452	66.28	9089096.0
196_1470	49.11	3718885.0
196_N67	71.64	8535242.0
200_4360	59.57	8315894.0
200_4616	55.51	6969195.0
200_N59	58.25	7392370.0
200_N73	52.39	4183917.0
204_1332	68.72	10501356.0
204_1340	65.38	8197977.0
204_689	58.1	5930545.0
204_765	68.87	4876853.0
208_713	70.67	7730872.0
208_N52	55.9	5302423.0
208_N54	72.46	6981774.0
208_N56	66.05	5842156.0
212_699	66.07	7772214.0
212_741	66.92	6881386.0
212_753	62.25	5409851.0
212_N48	64.73	6403347.0
216_3446	62.87	9895442.0
216_693	62.59	5635707.0
216_N50	64.42	8172338.0
216_N58	57.79	5900679.0
220_3421	0.82	18.0
220_617	63.82	9234606.0
220_675	64.27	9952060.0
220_695	63.89	6725074.0
224_1220	64.02	9906841.0
224_663	63.41	8315034.0
224_719	63.46	8249976.0
224_N53	55.28	6475204.0
228_679	65.08	6423997.0
232_1004	49.72	1965294.0
232_1463	71.07	4051963.0
232_N46	55.99	6096196.0
232_N60	61.25	7475039.0
237_1332	65.4	5574767.0
237_3343	52.93	4707140.0
237_N49	60.28	5232931.0
237_N67	56.25	7602480.0
23_1332	38.44	1237010.0
23_1470	18.76	1364107.0
23_N50	39.88	2984774.0
242_3420	62.23	7814533.0
242_765	58.53	5546447.0
242_N70	68.42	6204996.0
242_N72	36.7	371382.0
247_1280	59.39	6299969.0
247_1452	73.0	11009899.0
247_1455	34.22	141.0
247_719	68.56	5063468.0
252_3342	72.75	8905635.0
252_4360	67.96	6469664.0
252_4503	67.76	7271913.0
252_4616	47.56	214.0
257_1340	61.76	6357433.0
257_3421	50.14	7515105.0
257_741	67.81	7654794.0
257_N73	45.46	2680664.0
262_1220	61.28	4918204.0
262_N48	70.34	1657836.0
262_N50	66.31	4377691.0
262_N52	63.02	5955752.0
267_1470	60.57	6117531.0
267_713	67.93	6745424.0
267_753	68.86	9500299.0
267_N54	66.48	8401289.0
272_3446	53.99	3295038.0
272_675	65.46	5808840.0
272_N56	66.14	6639483.0
272_N58	63.65	5175570.0
277_617	68.36	7470681.0
277_679	64.74	6528891.0
277_699	64.61	6490792.0
277_N53	61.42	1304961.0
282_663	68.0	10929391.0
282_689	71.52	6669661.0
282_695	62.95	8168760.0
282_N59	71.64	6873335.0
287_693	58.9	6077799.0
28_3343	55.89	2651796.0
28_695	47.72	2040861.0
28_N67	38.94	1973038.0
292_LC024	51.32	4434809.0
292_LC124	51.85	2544997.0
292_LC129	52.94	5815743.0
292_MC005	82.4	12397239.0
297_LC013	57.7	4846556.0
297_LC018	63.47	5664081.0
297_LC125	66.14	9298922.0
297_LC127	66.14	5295910.0
302_LC007	63.06	7328949.0
302_LC123	55.99	5788144.0
302_LC126	55.35	5592578.0
302_LC157	65.21	6012004.0
307_LC077	67.17	6125921.0
307_LC114	1.82	17865.0
307_MC014	58.11	5918172.0
307_MC027	59.58	4598114.0
312_LC062	3.15	1548.0
312_LC064	59.99	4200776.0
312_LC088	68.94	5245338.0
312_MC011	63.93	6015735.0
317_LC079	60.8	4847227.0
317_LC085	65.7	6321811.0
317_LC110	60.95	4270716.0
317_MC026	56.33	9312288.0
322_LC016	57.18	6823875.0
322_LC101	50.3	3122146.0
322_LC122	50.13	4435936.0
322_MC019	48.56	4100973.0
327_LC042	69.31	5596229.0
327_LC058	70.92	7932507.0
327_LC115	73.34	7410616.0
327_MC002	68.56	4743106.0
332_LC043	76.46	9072027.0
332_LC045	69.13	9011707.0
332_LC049	67.87	8930447.0
332_LC078	71.78	7793066.0
337_LC003	61.53	3333588.0
337_LC041	53.91	4271257.0
337_LC056	71.56	7779971.0
337_MC032	52.37	3893622.0
33_1452	53.34	2474277.0
33_1455	30.4	1106740.0
33_719	42.24	2615526.0
342_LC005	55.14	2413337.0
342_LC048	57.58	9712649.0
342_LC053	74.2	6308193.0
342_LC055	69.33	8759827.0
347_LC052	65.21	7256295.0
38_1004	31.19	1894472.0
38_N46	70.8	10754895.0
38_N70	54.33	2904055.0
3_4503	46.72	2615714.0
3_4616	40.17	3501806.0
3_689	61.2	6050961.0
43_3421	30.49	1445945.0
43_675	58.81	8864915.0
43_N73	46.14	2421413.0
48_1463	49.26	2231799.0
48_663	43.41	1747233.0
48_753	34.68	2207367.0
53_693	51.27	3474321.0
53_765	63.66	4929266.0
53_N49	46.3	3396614.0
58_3420	61.17	5687786.0
58_617	81.28	11589405.0
58_N52	78.92	7461012.0
63_1220	60.42	6713726.0
63_679	62.11	7256163.0
63_N56	60.33	6058359.0
68_4360	57.84	4961460.0
68_N54	73.09	7463445.0
68_N58	62.17	7186905.0
73_3342	56.36	4843267.0
73_3446	21.03	1251518.0
73_N53	59.32	7452260.0
78_LC003	68.58	4385852.0
78_LC041	47.09	3711375.0
78_LC056	47.41	2007733.0
78_LC078	39.78	3598232.0
83_LC042	49.28	3504195.0
83_LC049	43.47	2459000.0
83_LC053	38.51	1767161.0
83_LC115	53.87	2101823.0
88_LC005	75.92	7722307.0
88_LC043	36.22	2214495.0
88_LC045	43.92	4839390.0
88_MC032	36.52	2513170.0
8_699	45.76	4579350.0
8_741	52.49	3221972.0
8_N72	30.24	1919163.0
93_LC048	40.85	1320129.0
93_LC052	53.39	1923229.0
93_LC055	60.69	5439965.0
93_LC088	54.66	3568563.0
98_LC079	59.58	5142536.0
98_LC085	62.5	8469917.0
98_MC011	44.0	2556089.0
98_MC014	43.11	2367068.0
