OriginalSort,Assess_ID,UniqueID,Unique_ID,ID_clones,sample_period,time_point,Sample_date,sample_day,sample_month,Location,other_months,month_location,SCTLD_RNA3,Location_1,Region_1,Region,month_region,SCTLD_RNA_region,SCTLD_RNA_month_region,SCTLD_RNA_month_location,SCTLD,SCTLD_RNA,SCTLD_RNA_Location,SCTLD_RNA_month,SCTLD_coring,Lineage,Resistance,Histopath_supported_resistance,SCTLD_coring_binary,lesion_presence_history,Dynamic_disease_state,Spp,Colony_base_depth_ft,Colony_base_depth_m,length,width,height,Surface-Area_cm2,treat_type,Proportion_visits_diseased_btw_May21_Mar22,Disease_on_colony_when_coring,Core_Site_Angle,Core_Site_Location,Core_Site_Heading,Core_Site_Depth_ft,Core_Site_Depth_m,Treatments_immediately_after_coring_bi,Treatments_6_months_prior_bi,Treatments_12_months_prior_bi,Treatments_immediately_after_coring,Treatments_2_months_prior,Treatments_4_months_prior,Treatments_6_months_prior,Treatments_9_months_prior,Treatments_12_months_prior,Total_treatments_before_coring,Prop_visits_disease_after_coring,Prop_visits_disease_2_months_prior,Prop_visits_disease_4_months_prior,Prop_visits_disease_6_months_prior,Prop_visits_disease_9_months_before_prior,Prop_visits_disease_12_months_before_prior,Prop_visits_disease_from_May_2020,Live_tissue_at_coring,Tissue_Loss_2_months_before_coring,Tissue_Loss_4_months_before_coring,Tissue_Loss_6_months_before_coring,Tissue_Loss_9_months_before_coring,Tissue_Loss_12_months_before_coring,Total_Tissue_Loss_before_coring,vcpA,EtOAc,BuOH,lytic_necrosis_score,Zoox_degenerative_changes,Mucous_hyperplasia_score,Oocyte_Presence,Spermary_Presence,Polyp_Fecundity,Fecundity_Category,Stage_1_Oocyte_Mean_Max_Diameter,Stage_2_Oocyte_Mean_Max_Diameter,Stage_3_Oocyte_Mean_Max_Diameter,Stage_4_Oocyte_Mean_Max_Diameter,Stage_1_Oocyte_Counts,Stage_2_Oocyte_Counts,Stage_3_Oocyte_Counts,Stage_4_Oocyte_Counts,Total_Symb_Density,Breviolum_density,Cladocopium_density,Durusdinium_density
1,617,617_SP1,617_SP1,NA,SP1,A,6/12/21,12_june,june,Looe,2,june_Looe,unaffected,Looe Key,Lower_Keys,Lower,june_Lower,SCTLD_affected_Lower,SCTLD_affected_june_Lower,SCTLD_affected_june_Looe,affected,SCTLD_affected,Looe_SCTLD_affected,june_SCTLD_affected,Absent,Common,Some,Low,0,Present,NA,Ofav,30,9.144,344,320,302,136462.5399,Amoxicillin,0.5,Absent,Vertical,Middle Side,SW,18,5.4864,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,80,NA,NA,NA,NA,NA,-20,0,7.67,4.25,1,2,3,1,0,0,None,0,0,158.209,214.5557778,0,0,1,9,0.047192794,0.047192794,0,0
2,663,663_SP1,663_SP1,NA,SP1,A,6/12/21,12_june,june,Looe,2,june_Looe,unaffected,Looe Key,Lower_Keys,Lower,june_Lower,SCTLD_affected_Lower,SCTLD_affected_june_Lower,SCTLD_affected_june_Looe,affected,SCTLD_affected,Looe_SCTLD_affected,june_SCTLD_affected,Present,Common,Some,Low,1,Present,NA,Ofav,28,8.5344,510,390,260,175571.4174,Amoxicillin,0.333333333,Present,Flat,Top,S,23,7.0104,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,40,NA,NA,NA,NA,NA,-60,0,10.01,5.4,4,3,4,1,0,12.6,Low,0,137.164,175.5193636,200.196,0,2,11,1,0.00558094,0.00558094,0,0
3,675,675_SP1,675_SP1,NA,SP1,A,6/12/21,12_june,june,Looe,2,june_Looe,affected,Looe Key,Lower_Keys,Lower,june_Lower,SCTLD_affected_Lower,SCTLD_affected_june_Lower,SCTLD_affected_june_Looe,affected,SCTLD_affected,Looe_SCTLD_affected,june_SCTLD_affected,Present,Common,Low,Low,1,Present,NA,Ofav,15,4.572,312,258,220,87909.59528,Amoxicillin,0.833333333,Present Collected,Vertical,Middle Side,W,14,4.2672,1,1,1,20,21,23,49,53,95,183,1,1,1,1,1,1,1,20,NA,NA,NA,NA,NA,-80,0.1,8.2,4.16,2,2,2,1,1,5.2,Low,111.592,137.36,169.2735714,206.2125,1,7,7,2,0.015800772,0.015421866,0.000378906,0
4,679,679_SP1,679_SP1,NA,SP1,A,6/12/21,12_june,june,Looe,2,june_Looe,affected,Looe Key,Lower_Keys,Lower,june_Lower,SCTLD_affected_Lower,SCTLD_affected_june_Lower,SCTLD_affected_june_Looe,affected,SCTLD_affected,Looe_SCTLD_affected,june_SCTLD_affected,Present,Common,Low,Low,1,Present,NA,Ofav,25,7.62,290,252,253,92970.25171,Amoxicillin,1,Present,Vertical,Middle Side,NE,23,7.0104,1,1,1,4,9,13,18,20,56,113,1,1,1,1,1,1,1,65,NA,NA,NA,NA,NA,-35,0.28,8.81,4.06,2,3,2,0,0,0,None,0,0,0,0,0,0,0,0,0.030969579,0.030259887,0.000709692,0
5,689,689_SP1,689_SP1,689_SP1,SP1,A,6/12/21,12_june,june,Looe,2,june_Looe,affected,Looe Key,Lower_Keys,Lower,june_Lower,SCTLD_affected_Lower,SCTLD_affected_june_Lower,SCTLD_affected_june_Looe,affected,SCTLD_affected,Looe_SCTLD_affected,june_SCTLD_affected,Present,Common,Low,Low,1,Present,NA,Ofav,22,6.7056,355,280,282,122471.0817,Amoxicillin,1,Present,Vertical,Middle Side,SW,18,5.4864,1,1,1,82,162,182,311,378,576,861,1,1,1,1,1,1,1,20,NA,NA,NA,NA,NA,-80,0.12,9.56,4.95,2,2,3,1,1,15.5,Low,0,174.2085,195.03375,0,0,2,4,0,0.011286529,0.008822076,0,0.002464453
6,693,693_SP1,693_SP1,NA,SP1,A,6/12/21,12_june,june,Looe,2,june_Looe,affected,Looe Key,Lower_Keys,Lower,june_Lower,SCTLD_affected_Lower,SCTLD_affected_june_Lower,SCTLD_affected_june_Looe,affected,SCTLD_affected,Looe_SCTLD_affected,june_SCTLD_affected,Present,Common,Low,Low,1,Present,NA,Ofav,25,7.62,318,280,240,99834.8398,Amoxicillin,0.5,Present,Angle,Top,NW,19,5.7912,1,1,1,1,2,4,6,8,14,52,1,1,1,1,1,1,1,70,NA,NA,NA,NA,NA,-30,0.04,7.36,4.94,0,1,2,1,1,12.22222222,Low,0,153.603,215.4158333,267.1501429,0,1,6,7,0.018566935,0.018566935,0,0
7,695,695_SP1,695_SP1,689_SP1,SP1,A,6/12/21,12_june,june,Looe,2,june_Looe,affected,Looe Key,Lower_Keys,Lower,june_Lower,SCTLD_affected_Lower,SCTLD_affected_june_Lower,SCTLD_affected_june_Looe,affected,SCTLD_affected,Looe_SCTLD_affected,june_SCTLD_affected,Present,Common,Low,Low,1,Present,NA,Ofav,26,7.9248,540,395,348,229891.4057,Amoxicillin,0.833333333,Present,Angle,Middle Side,SW,24,7.3152,1,1,1,44,74,86,148,170,320,542,1,1,1,1,1,1,1,15,NA,NA,NA,NA,NA,-85,0.07,11.6,9.08,1,1,3,1,0,13.22222222,Low,0,0,0,0,0,0,0,0,0.026539812,0.026517477,0,2.23E-05
8,699,699_SP1,699_SP1,N59_SP1,SP1,A,6/12/21,12_june,june,Looe,2,june_Looe,affected,Looe Key,Lower_Keys,Lower,june_Lower,SCTLD_affected_Lower,SCTLD_affected_june_Lower,SCTLD_affected_june_Looe,affected,SCTLD_affected,Looe_SCTLD_affected,june_SCTLD_affected,Present,Common,Some,Low,1,Present,NA,Ofav,11,3.3528,110,95,118,15949.93622,Amoxicillin,0.333333333,Present,Flat,Top,NE,11,3.3528,1,1,1,4,4,4,4,4,4,5,1,0.5,0.333333333,0.25,0.2,0.142857143,0.142857143,95,NA,NA,NA,NA,NA,-5,0.03,10.45,9.3,1,1,3,1,1,15.85714286,Low,0,150.991,190.5262,263.2766,0,1,10,5,0.024643624,0.024643624,0,0
9,713,713_SP1,713_SP1,NA,SP1,A,6/12/21,12_june,june,Looe,2,june_Looe,unaffected,Looe Key,Lower_Keys,Lower,june_Lower,SCTLD_affected_Lower,SCTLD_affected_june_Lower,SCTLD_affected_june_Looe,affected,SCTLD_affected,Looe_SCTLD_affected,june_SCTLD_affected,Absent,Common,Some,Low,0,Present,NA,Ofav,15,4.572,123,107,145,21773.90808,Amoxicillin,0,Absent,Flat,Middle Side,E,12,3.6576,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,90,NA,NA,NA,NA,NA,-10,0,7,3.18,1,1,3,1,1,11,Low,0,0,0,0,0,0,0,0,0.010150973,0.010150973,0,0
10,719,719_SP1,719_SP1,NA,SP1,A,6/12/21,12_june,june,Looe,2,june_Looe,affected,Looe Key,Lower_Keys,Lower,june_Lower,SCTLD_affected_Lower,SCTLD_affected_june_Lower,SCTLD_affected_june_Looe,affected,SCTLD_affected,Looe_SCTLD_affected,june_SCTLD_affected,Present,Common,Low,Low,1,Present,NA,Ofav,28,8.5344,238,210,205,62453.82558,Amoxicillin,0.833333333,Present Collected,Angle,Top,SE,22,6.7056,1,1,1,12,31,33,57,64,85,146,1,1,1,1,1,1,1,35,NA,NA,NA,NA,NA,-65,0.05,12.02,9.24,3,2,3,1,1,4.666666667,Low,0,0,0,0,0,0,0,0,0.002431772,0.002292416,0.000138519,8.36E-07
