original sort,AssessID,Species,P1_label,Location,Region,depth_ft_colony_base,firstvisit_date,length,width,height,Surface Area (cm²),total_periods_visited,total_periods_diseased,treat_type,total_treatments,Resistance_April2021,Resistance2_April2021,%visits_diseased_total,%visits_diseased_May21-Mar22,%LiveTissueDifference_total,%LiveTissueDifference_Apr21-Mar22,date,time,process_time,disease,coresite_angle,core_location,core_heading,core_depth,Zoox_dominant,Zoox_background
54,617,Ofav1,617,Looe,Looe,30,3/26/19,344,320,302,136463,19,5,Amox,11,2-Some,SCTLD affected,26.30%,50.00%,NA,NA,6/12/21,12:35,10,A,Vertical,MS,SW,18,B,NA
55,663,Ofav1,663,Looe,Looe,28,3/31/19,510,390,260,175571,21,5,Amox,13,2-Some,SCTLD affected,23.80%,33.30%,NA,NA,6/12/21,12:49,10,P,Flat,T,S,23,B,NA
46,675,Ofav1,675,Looe,Looe,15,4/1/19,312,258,220,87910,19,16,Amox,220,1-Low,SCTLD affected,84.20%,83.30%,NA,NA,6/12/21,13:17,9,PC,Vertical,MS,W,14,B,NA
47,679,Ofav1,679,Looe,Looe,25,4/1/19,290,252,253,92970,21,18,Amox,136,1-Low,SCTLD affected,85.70%,100.00%,NA,NA,6/12/21,13:32,8,P,Vertical,MS,NE,23,B,CD
48,689,Ofav1,689,Looe,Looe,22,4/1/19,355,280,282,122471,21,21,Amox,1015,1-Low,SCTLD affected,100.00%,100.00%,NA,NA,6/12/21,NA,NA,P,Vertical,MS,SW,18,B,C
49,693,Ofav1,693,Looe,Looe,25,4/2/19,318,280,240,99835,21,16,Amox,77,1-Low,SCTLD affected,76.20%,50.00%,NA,NA,6/12/21,14:42,10,P,Angle,T,NW,19,B,NA
50,695,Ofav1,695,Looe,Looe,26,4/2/19,540,395,348,229891,20,19,Amox,720,1-Low,SCTLD affected,95.00%,83.30%,NA,NA,6/12/21,14:30,8,P,Angle ,MS,SW,24,B,D
56,699,Ofav1,699,Looe,Looe,11,4/2/19,110,95,118,15950,17,4,Amox,9,2-Some,SCTLD affected,23.50%,33.30%,NA,NA,6/12/21,NA,NA,P,Flat,T,NE,11,B,NA
57,713,Ofav1,713,Looe,Looe,15,4/10/19,123,107,145,21774,22,2,Amox,4,2-Some,SCTLD affected,9.10%,0.00%,NA,NA,6/12/21,15:13,4,A,Flat,MS,E,12,B,NA
51,719,Ofav1,719,Looe,Looe,28,4/10/19,238,210,205,62454,22,21,Amox,230,1-Low,SCTLD affected,95.50%,83.30%,NA,NA,6/12/21,11:13,10,PC,Angle,T,SE,22,B,CD
